MCRRIGHT,HISPANIC,BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRI,VETVOTER,BEATDEM,REL5,HILLARY,GIULIANI,BUSHPATA,CDAREA,CDPAST,WEIGHT
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,37.0,SECOND CALL,45-49,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,NEITHER,NEITHER,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,UNFAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.426
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,38.0,SECOND CALL,50-59,FEMALE,BUSH,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,DEMOCRAT,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,YES,NO,BUSH,SOMETHING ELSE,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.5710000000000001
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,39.0,SECOND CALL,40-44,FEMALE,BUSH,THIS YEAR,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,GREAT DEAL,UPSTATE RURAL,MID HI REP,0.5710000000000001
NOT AT ALL,YES,COMPLETED,URBAN UPSTATE,33.0,60.0,40.0,SECOND CALL,40-44,MALE,BUSH,BEFORE THAT,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,MID HI REP,0.665
NOT AT ALL,NO,NOT COMPLETED,URBAN UPSTATE,33.0,60.0,41.0,SECOND CALL,30-39,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,30-44,30-39,,30-39,30-39,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,OMITS,YES,,OMITS,,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.607
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,42.0,SECOND CALL,40-44,MALE,BUSH,THIS YEAR,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,BUSH,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.607
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,43.0,SECOND CALL,65-74,MALE,BUSH,BEFORE THAT,OMITS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,TOO CONSERVATIVE,FAVORABLE,UNFAVORABLE,BUSH,GORE,TOO CONSERVATIVE,BOTH,NEITHER,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.866
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,44.0,SECOND CALL,50-59,FEMALE,BUSH,TODAY,EDUCATION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,GORE,ABOUT RIGHT,BUSH,NEITHER,YES,NO,MCCAIN,CATHOLIC,FAVORABLE,FAVORABLE,GREAT DEAL,UPSTATE RURAL,MID HI REP,0.5710000000000001
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,45.0,SECOND CALL,50-59,FEMALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,GORE,GORE,TOO CONSERVATIVE,NEITHER,NEITHER,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.426
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,46.0,SECOND CALL,30-39,MALE,MCCAIN,WITHIN LAST WEEK,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,CATHOLIC,FAVORABLE,UNFAVORABLE,SOMEWHAT,UPSTATE RURAL,MID HI REP,0.453
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,47.0,SECOND CALL,50-59,MALE,MCCAIN,WITHIN LAST 3 DAYS,EDUCATION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.453
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,48.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,CATHOLIC,UNFAVORABLE,UNFAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.453
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,49.0,SECOND CALL,30-39,MALE,MCCAIN,WITHIN LAST 3 DAYS,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,,FAVORABLE,FAVORABLE,OMITS,UPSTATE RURAL,MID HI REP,0.453
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,50.0,SECOND CALL,40-44,FEMALE,MCCAIN,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.426
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,51.0,SECOND CALL,50-59,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,OTHER CHRISTIAN,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.5710000000000001
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,52.0,SECOND CALL,50-59,MALE,KEYES,WITHIN LAST WEEK,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,BOTH,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.514
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,53.0,SECOND CALL,75+,FEMALE,BUSH,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",YES,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,YES,NO,BUSH,CATHOLIC,FAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,MID HI REP,0.8140000000000001
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,54.0,SECOND CALL,65-74,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,BOTH,YES,YES,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,GREAT DEAL,UPSTATE RURAL,MID HI REP,0.866
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,55.0,SECOND CALL,45-49,FEMALE,BUSH,BEFORE THAT,EDUCATION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,OTHER CHRISTIAN,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,MID HI REP,0.5710000000000001
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,56.0,SECOND CALL,45-49,MALE,BUSH,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,BUSH,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.607
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,57.0,SECOND CALL,30-39,MALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.607
SOMEWHAT,,COMPLETED,URBAN UPSTATE,33.0,60.0,58.0,SECOND CALL,50-59,MALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,YES,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.607
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,59.0,SECOND CALL,40-44,MALE,BUSH,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.607
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,60.0,SECOND CALL,45-49,MALE,BUSH,WITHIN LAST 3 DAYS,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,NEITHER,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.607
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,61.0,SECOND CALL,40-44,MALE,BUSH,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,NONE,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NEITHER,YES,YES,BUSH,NONE,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.607
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,62.0,SECOND CALL,50-59,MALE,BUSH,THIS YEAR,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BOTH,BUSH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.607
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,63.0,SECOND CALL,40-44,MALE,BUSH,THIS YEAR,ABORTION,CAN WIN IN NOVEMBER,OMITS,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,MCCAIN,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,MID HI REP,0.607
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,64.0,SECOND CALL,50-59,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,BOTH,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.5710000000000001
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,65.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,UNFAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.453
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,66.0,SECOND CALL,40-44,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NOT CONSERVATIVE ENOUGH,MCCAIN,NEITHER,YES,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.453
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,67.0,SECOND CALL,30-39,FEMALE,BUSH,TODAY,EDUCATION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,OMITS,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,GORE,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,NO,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.5710000000000001
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,68.0,SECOND CALL,50-59,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,,YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,GORE,GORE,ABOUT RIGHT,BOTH,BOTH,YES,NO,BUSH,CATHOLIC,OMITS,OMITS,NOT MUCH,UPSTATE RURAL,MID HI REP,0.426
NOT AT ALL,,COMPLETED,URBAN UPSTATE,33.0,62.0,1.0,FIRST CALL,50-59,FEMALE,MCCAIN,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,OMITS,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.962
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,62.0,2.0,FIRST CALL,40-44,MALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,OMITS,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,BOTH,YES,NO,OMITS,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,1.371
